"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_calculator[4-8-12]","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","0","test_iseven","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","0","test_calculator[2-4-6]","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","0","test_multiply[1-2]","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","0","test_calculator[3-6-9]","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","0","test_multiply[2-4]","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","1","test_calculator[1-2-3]","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","0","test_subtract","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","0","test_divide_by_zero_context","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","0","test_multiply[4-8]","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","0","test_multiply[5-10]","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","1","test_calculator[5-10-15]","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","1","test_multiply[3-6]","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
"","0","test_divide_by_zero","tests","2025-12-15","passed","2025-12-15","","test_sum","",""
